season,week,contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975
1,1,0,Evander Holyfield,18.0,0.11958461250768583,0.07983319375944509,0.006796646480591711,0.4450164877051986
1,1,1,Joey McIntyre,20.0,0.29626698812717417,0.2544992543890082,0.03213907875287648,0.7514985425953243
1,1,2,John O'Hurley,20.0,0.26783719691747904,0.2190786268485008,0.02716043720371744,0.7297841274425438
1,1,3,Kelly Monaco,13.0,0.02604818092945196,0.00826502671601547,0.00010724140759102331,0.16115940268147558
1,1,4,Rachel Hunter,20.0,0.21694215112726822,0.16169856771996055,0.01786336875944637,0.6658870619365485
1,1,5,Trista Sutter,18.0,0.07332087039094078,0.04815998124162499,0.0055856710850767256,0.29489484834532337
1,2,0,Evander Holyfield,14.0,0.031193072088344577,0.011639782948419258,0.00017114964074974213,0.17294843015624176
1,2,1,Joey McIntyre,21.0,0.15690883555009427,0.10542332919774611,0.008116856376151694,0.5714210122166966
1,2,2,John O'Hurley,26.0,0.46246452754263345,0.4464056376538803,0.06367841411051481,0.9190862695005586
1,2,3,Kelly Monaco,17.0,0.06731127777706285,0.03299679310213251,0.0011163128675975161,0.3335687745165786
1,2,4,Rachel Hunter,24.0,0.23076507615074396,0.17175606481707717,0.017353184763873142,0.7106197753855733
1,2,5,Trista Sutter,19.0,0.05135721089112087,0.031179081211600256,0.0022232126631887977,0.22693513451405165
1,3,0,Evander Holyfield,13.0,0.029173857398101615,0.010509170139221886,0.00018724968706582847,0.1631458180747668
1,3,1,Joey McIntyre,22.0,0.19355226177007878,0.1407120450086738,0.01382846133307148,0.6305297073188576
1,3,2,John O'Hurley,24.0,0.26856769019593985,0.21903120539937004,0.024001530202727297,0.7535565746957554
1,3,3,Kelly Monaco,21.0,0.15905650147301004,0.11291458057718767,0.00850375821999264,0.5604057227820414
1,3,4,Rachel Hunter,26.0,0.3496496891628697,0.3052343382067517,0.032672404371146324,0.862055898711116
1,4,1,Joey McIntyre,20.0,0.0732851425577466,0.028523060342421226,0.0007123760071034758,0.40876538793474637
1,4,2,John O'Hurley,21.0,0.08628503136452355,0.041378036605560276,0.0014186966911556623,0.4269841253401519
1,4,3,Kelly Monaco,26.0,0.5658055516284751,0.5927428202725673,0.08925166589137645,0.9464806458723587
1,4,4,Rachel Hunter,25.0,0.27462427444925475,0.2149736537708496,0.02190095889328081,0.798609577422741
1,5,1,Joey McIntyre,22.5,0.10789807391611969,0.050358197365534735,0.001149613605777319,0.5255202918264436
1,5,2,John O'Hurley,27.0,0.726307160203416,0.7961182431698247,0.16575542074002708,0.9927376052563501
1,5,3,Kelly Monaco,23.5,0.16579476588046416,0.10177621408028281,0.003796881239189779,0.6418548223416378
1,6,2,John O'Hurley,27.0,0.14513434425848182,0.07047698919035933,0.0017374674933222595,0.6820462529186642
1,6,3,Kelly Monaco,27.5,0.8548656557415182,0.9295230108096406,0.3179537470813358,0.9982625325066778
2,1,0,Drew Lachey,24.0,0.2517268205601968,0.19936741583168888,0.025244240119022106,0.71601384434653
2,1,1,George Hamilton,18.0,0.045370945639799605,0.02986171055038621,0.002493929372265644,0.17462650534296184
2,1,2,Giselle Fernandez,23.0,0.11847043832800325,0.07921171763466393,0.011443152466531183,0.45615423639145086
2,1,3,Jerry Rice,21.0,0.1611198920707652,0.11931204648754579,0.011543982421279787,0.5290406389832466
2,1,4,Kenny Mayne,13.0,0.009128776989998411,0.004497183716173622,0.00012236268816833592,0.04432106923847138
2,1,5,Lisa Rinna,19.0,0.05606087897387193,0.03451161943705587,0.003594127862462108,0.2449978564898755
2,1,6,Master P,12.0,0.01936076501110444,0.006568402062350491,7.956287235323644e-05,0.10383680884472056
2,1,7,Stacy Keibler,22.0,0.13904609020466457,0.09948428769166354,0.012112674297584284,0.49345664882946116
2,1,8,Tatum O'Neal,23.0,0.13446278505530046,0.09590983174293677,0.01295385737643077,0.45932801400320705
2,1,9,Tia Carrere,20.0,0.06525260716629526,0.04463432562420114,0.005326751235146015,0.253288453239729
2,2,0,Drew Lachey,27.0,0.23645089651337803,0.18213163910717767,0.02087354718390345,0.7136472137814941
2,2,1,George Hamilton,22.0,0.059343654067186495,0.039191131114056,0.002556097728781668,0.23295691851598152
2,2,2,Giselle Fernandez,24.0,0.062433288997588016,0.039488283404328486,0.0043543300667304675,0.26485804903105337
2,2,3,Jerry Rice,23.0,0.12795051380369338,0.08295696186807097,0.004850314236634687,0.47526047052295456
2,2,5,Lisa Rinna,20.0,0.036578801294244664,0.01862126840986167,0.0007550369711410102,0.1874163707000233
2,2,6,Master P,16.0,0.02500670514433687,0.009061776954091733,9.508575048308682e-05,0.13047849003563355
2,2,7,Stacy Keibler,29.0,0.38901554665277355,0.35346447821489324,0.04134899930593783,0.8831788295628844
2,2,8,Tatum O'Neal,17.0,0.012761434688117142,0.006017628552106264,0.00014910267213176298,0.06511896828199082
