season,contestant_id,celebrity_name,mu_mean,mu_median
1,0,Evander Holyfield,0.5408368562706012,0.5066053815883206
1,1,Joey McIntyre,1.1542947547299056,1.016617211547873
1,2,John O'Hurley,-0.05161742599240353,-0.013720726089033256
1,3,Kelly Monaco,2.6628007638871347,2.5539134766866454
1,4,Rachel Hunter,-2.489550284380749,-2.3966247201271376
1,5,Trista Sutter,-1.8167646645144893,-1.7161158324535923
2,0,Drew Lachey,1.917971309741142,1.8873717505921976
2,1,George Hamilton,-1.5616737998506491,-1.5634420459908105
2,2,Giselle Fernandez,-1.7015558102935617,-1.7496938730684102
2,3,Jerry Rice,-0.007469471820932111,-0.07700543542146157
2,4,Kenny Mayne,-0.7328107798533885,-0.6110005848780737
2,5,Lisa Rinna,-0.642723842712209,-0.778794037592375
2,6,Master P,2.018456466959509,2.0213758307219143
2,7,Stacy Keibler,1.1223036260609482,1.1261105107996223
2,8,Tatum O'Neal,-0.19687369473666502,-0.11557951785415282
2,9,Tia Carrere,-0.21562400349419342,-0.143366536132404
3,0,Emmitt Smith,-0.5410890136183484,-0.5869117902738058
3,1,Harry Hamlin,1.3270525565719655,1.4857995455444666
3,2,Jerry Springer,1.0449329859157779,1.1422119943552973
3,3,Joey Lawrence,-0.3111536531653297,-0.41598278821559664
3,4,Mario Lopez,1.6766839195794376,1.590019668400131
3,5,Monique Coleman,-1.7698525660270366,-1.7878812230195562
3,6,Sara Evans,1.0821699609025435,1.0937275424699577
3,7,Shanna Moakler,0.0998739018545288,0.02786247206661355
3,8,Tucker Carlson,-1.6336979713921267,-1.5874098392777478
3,9,Vivica A. Fox,-0.5667060582517832,-0.5129046955099077
3,10,Willa Ford,-0.4082140623696283,-0.5372892989833692
4,0,Apolo Anton Ohno,1.9891237146321323,2.1914284995937416
4,1,Billy Ray Cyrus,0.22660986326401464,-0.35903035985849696
4,2,Clyde Drexler,-1.551665778809893,-1.526453522815059
4,3,Heather Mills,1.7326500633926867,1.948548212162242
4,4,Ian Ziering,1.2935132960482265,1.3826964289484729
4,5,Joey Fatone,0.6658649353119331,0.6462713280046348
4,6,John Ratzenberger,-0.25486973280835257,-0.29954295075070714
4,7,Laila Ali,-2.559859494890577,-2.552185637819992
4,8,Leeza Gibbons,1.3001886341947109,1.2346651561298199
4,9,Paulina Porizkova,-1.8279947327158375,-1.776042892989475
4,10,Shandi Finnessey,-1.0135607676190443,-0.9374654003449738
5,0,Albert Reed,-1.1744907958678916,-1.0568176815390395
5,1,Cameron Mathison,1.3587184864650843,1.2255016103783665
5,2,Floyd Mayweather Jr. ,0.10761475971097431,0.1612657896765155
5,3,Helio Castroneves,2.195451918229499,1.932165378931698
5,4,Jane Seymour,-0.8131311427875856,-0.9057836189074535
5,5,Jennie Garth,2.1234351787093706,2.104604073914322
5,6,Josie Maran,-1.3318606429979543,-1.4856196904645105
5,7,Marie Osmond,1.398989424507804,1.3896766374157372
5,8,Mark Cuban,-1.8845006401990314,-1.9593164610922864
5,9,Mel B,-0.5080166228611875,-0.5718071105601854
5,10,Sabrina Bryan,-0.4360047013500533,-0.37262179185222155
5,11,Wayne Newton,-1.036205221559029,-1.0690095563803297
6,0,Adam Carolla,1.407593058059252,1.3762401764705143
6,1,Cristian de la Fuente,0.5222993377369893,0.5150156526794033
6,2,Jason Taylor,0.0976252099971806,0.05254485468762993
6,3,Kristi Yamaguchi,-0.23403048487256473,-0.18924736811063597
6,4,Mario,1.1169005743239488,1.1876251245878424
6,5,Marissa Jaret Winokur,0.7212355336360848,0.788114185671073
6,6,Marlee Matlin,-2.053974410818273,-2.0880924237777085
6,7,Monica Seles,0.11124415102001554,0.17236176719042312
6,8,Penn Jillette,-2.467434091432645,-2.3477508367249165
6,9,Priscilla Presley,2.1632180663107237,2.3518370423903923
6,10,Shannon Elizabeth,-1.1235731683174794,-1.123795822950771
6,11,Steve Guttenberg,-0.2611037756432326,-0.49190021353288726
7,0,Brooke Burke,-1.6367496038459233,-1.67282048814952
7,1,Cloris Leachman,1.04185048141866,1.042791278303125
7,2,Cody Linley,1.2350321019797266,1.2459493669159414
7,3,Jeffrey Ross,1.023089882590108,1.0334024469282983
7,4,Kim Kardashian,0.8139424159467866,0.9371139950593055
7,5,Lance Bass,-1.1930112851808103,-1.1564661165922958
7,6,Maurice Greene,0.4108168515960985,0.36311611123081644
7,7,Misty May-Treanor,-0.9307433780474492,-0.9388395609904632
7,8,Rocco DiSpirito,-3.885893362994204,-4.146157610926662
7,9,Susan Lucci,-0.9067522715544045,-1.0226897457061992
7,10,Ted McGinley,0.9333417924791247,0.9274096709754807
7,11,Toni Braxton,2.978277315456944,3.0068818058264464
7,12,Warren Sapp,0.11679906015534339,0.11118710805195298
8,0,Belinda Carlisle,1.1066354396857543,1.2119165646295444
8,1,Chuck Wicks,0.3951090696935487,0.5904728067280156
8,2,David Alan Grier,1.2484199913069183,1.278767993972464
8,3,Denise Richards,1.6872651677910189,1.843287871830385
8,4,Gilles Marini,1.5914948494096375,1.4071141584029692
8,5,Holly Madison,1.1459294386187868,1.1187257747729293
8,6,Lawrence Taylor,-0.8523624669408452,-0.9490667123368123
8,7,Lil' Kim,-2.566112791298625,-2.457986276363556
8,8,Melissa Rycroft,-0.6328737745399369,-0.6547980627480128
8,9,Shawn Johnson,-2.0048803029123694,-2.0382205758260956
8,10,Steve Wozniak,-0.4832290460033214,-0.4483742936957207
8,11,Steve-O,-1.089853012279955,-0.9981555688279617
8,12,Ty Murray,0.4544574374693873,0.5202357535250857
9,0,Aaron Carter,-0.28336676647895026,-0.2315073041983644
