season,week,n_active,mechanism,rule_used_in_likelihood,notes,r_rank_percent_mean,r_rank_percent_median,r_rank_percent_q025,r_rank_percent_q975,r_rank_judge_mean,r_rank_judge_median,r_rank_judge_q025,r_rank_judge_q975,r_percent_judge_mean,r_percent_judge_median,r_percent_judge_q025,r_percent_judge_q975,r_rank_fan_mean,r_rank_fan_median,r_rank_fan_q025,r_rank_fan_q975,r_percent_fan_mean,r_percent_fan_median,r_percent_fan_q025,r_percent_fan_q975,bias_rank_mean,bias_rank_median,bias_rank_q025,bias_rank_q975,bias_percent_mean,bias_percent_median,bias_percent_q025,bias_percent_q975,elim_disagree_prob,top1_disagree_prob,most_likely_elim_rank_id,most_likely_elim_rank_name,most_likely_elim_rank_prob,most_likely_elim_percent_id,most_likely_elim_percent_name,most_likely_elim_percent_prob,observed_eliminated_id,observed_eliminated_name,prob_rank_method_matches_observed_elim,prob_percent_method_matches_observed_elim
1,1,6,direct,rank,,0.9557044556834438,0.9428571428571428,0.8857142857142857,1.0,0.8286698104801482,0.8332380897952963,0.6172133998483676,0.9258200997725515,0.7471809071878667,0.7715167498104596,0.46291004988627577,0.9258200997725515,0.8000154931478444,0.8285714285714286,0.4857142857142857,0.9428571428571428,0.8238367346938776,0.8857142857142857,0.2571428571428571,1.0,-0.028654317332303884,-8.817838188812654e-05,-0.34752380408101063,0.20677954588108116,0.07665582750601074,0.11419753590382609,-0.6686772426296944,0.41948483576757456,0.14,0.014285714285714285,3,Kelly Monaco,0.84,3,Kelly Monaco,0.98,,,,
1,2,6,direct,rank,,0.8709553413512676,0.9276336570439175,0.44136741475237473,0.9856107606091623,0.7856607560305906,0.8406680016960503,0.3236694374850748,0.9258200997725515,0.9242448979591837,0.9428571428571428,0.7714285714285715,1.0,0.7473401383826981,0.7826908981308054,0.5161002296110788,0.9276336570439175,0.48832653061224496,0.4857142857142857,-0.3142857142857143,0.7871428571428559,-0.038320617647892644,0.0,-0.36430604443134973,0.35309393180189974,-0.43591836734693873,-0.45714285714285713,-1.2571428571428571,-0.05714285714285705,0.40285714285714286,0.12,0,Evander Holyfield,0.5971428571428572,0,Evander Holyfield,0.9571428571428572,5.0,Trista Sutter,0.19428571428571428,0.02857142857142857
1,3,5,direct,rank,,0.809631676812209,0.8944271909999159,0.4472135954999579,0.9746794344808964,0.5830117601542911,0.6668859288553503,0.22360679774997896,0.8944271909999159,0.7460000000000001,0.7,0.3,0.9,0.6857229918370773,0.6668859288553503,0.22360679774997896,0.8944271909999159,0.35114285714285715,0.5,-0.6,0.9,0.10271123168278616,0.0,0.0,0.5590169943749475,-0.3948571428571429,-0.20000000000000007,-1.4,0.5,0.0,0.7885714285714286,0,Evander Holyfield,1.0,0,Evander Holyfield,1.0,0.0,Evander Holyfield,1.0,1.0
1,4,4,direct,rank,,0.7463692952552331,0.7745966692414834,0.31622776601683794,0.9486832980505138,0.6990126390770655,0.7745966692414834,0.31622776601683794,0.7745966692414834,0.86,1.0,0.2,1.0,0.7351529551932755,0.7745966692414834,0.31622776601683794,0.7745966692414834,0.23942857142857146,0.2,-0.8,0.8,0.036140316116210054,0.0,0.0,0.4216370213557839,-0.6205714285714286,-0.8,-1.8,0.4,0.3342857142857143,0.002857142857142857,1,Joey McIntyre,0.8371428571428572,1,Joey McIntyre,0.6485714285714286,4.0,Rachel Hunter,0.07714285714285714,0.06285714285714286
1,5,3,direct,rank,,0.8908652366969241,0.8660254037844387,0.5,1.0,0.8622507788655988,0.8660254037844387,0.5,1.0,0.7328571428571429,0.5,0.5,1.0,0.8622507788655988,0.8660254037844387,0.5,1.0,0.7414285714285714,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.008571428571428572,0.0,-2.0,0.5,0.44857142857142857,0.09714285714285714,1,Joey McIntyre,0.9371428571428572,3,Kelly Monaco,0.5114285714285715,,,,
1,6,2,direct,rank,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-0.08,0.0,-2.0,0.0,0.02,0.06,2,John O'Hurley,1.0,2,John O'Hurley,0.98,,,,
2,1,10,direct,rank,,0.9673652043854303,0.9726488698881033,0.9268464986450383,0.9848069807617046,0.686581648299448,0.7217159129777719,0.4159040854448177,0.7951107515856809,0.7166511610795183,0.7477238187264794,0.5471149893120582,0.8145934285312865,0.6495361412643781,0.713427896983352,0.39634883165741774,0.7773834508582804,0.5789783549783549,0.6,0.296969696969697,0.7454545454545455,-0.037045507035069744,-0.008288015994419973,-0.20549909516784115,0.0942661311253668,-0.13767280610116342,-0.12974494368280165,-0.31093584671036756,0.03490336683590295,0.02,0.3657142857142857,4,Kenny Mayne,1.0,4,Kenny Mayne,0.98,4.0,Kenny Mayne,1.0,0.98
2,2,9,direct,rank,,0.9558842581110402,0.9580170197702604,0.8786687791935092,0.9958246164193104,0.8001422557636219,0.7899159663865546,0.7310924369747899,0.8907563025210085,0.8211906908892589,0.8451956828432803,0.6830603723968589,0.9288784237188525,0.7358849615884456,0.7815402003388966,0.5378341163622514,0.8619322310183947,0.6665238095238094,0.6333333333333333,0.5,0.9,-0.06425729417517599,-0.0702306235975042,-0.24597815069533457,0.03827741350694869,-0.15466688136544943,-0.16995109756371296,-0.38102071866121207,0.1995689083937693,0.28285714285714286,0.19714285714285715,8,Tatum O'Neal,0.7171428571428572,8,Tatum O'Neal,1.0,8.0,Tatum O'Neal,0.7171428571428572,1.0
2,3,8,direct,rank,,0.8597051543562536,0.9047619047619048,0.6099375455928333,0.9523809523809523,0.675369530764216,0.6709239388850755,0.38274521870171596,0.8193365776101958,0.8179595413453048,0.8434347122457898,0.41930754265933545,0.9157291161525718,0.6038316854585338,0.6107893935757621,0.46707424214617105,0.7142857142857143,0.3578231292517007,0.3333333333333333,0.047619047619047616,0.7619047619047619,-0.07153784530568214,-0.10216475506377964,-0.2108949717500228,0.3247823341859706,-0.46013641209360406,-0.5347767352001909,-0.7843438189610855,0.279942069192882,0.9742857142857143,0.06285714285714286,2,Giselle Fernandez,1.0,6,Master P,0.9371428571428572,2.0,Giselle Fernandez,1.0,0.025714285714285714
2,4,7,direct,rank,,0.8843355648674167,0.9285714285714286,0.7637626158259733,0.9819805060619657,0.5341995418604814,0.5405624776173353,0.36698792170878686,0.8545454545454545,0.5293393709391849,0.6666937223947136,0.30631873731649006,0.6666937223947136,0.5988645054705376,0.6428571428571429,0.37839373433213475,0.7637626158259733,0.5214285714285714,0.4642857142857143,0.32142857142857145,0.8571428571428571,0.06466496361005639,0.10229466523980757,-0.22160626566786523,0.23000394817526332,-0.007910799510613574,-0.09526515096614219,-0.34526515096614213,0.4525330528743277,0.5742857142857143,0.2342857142857143,1,George Hamilton,0.5742857142857143,6,Master P,1.0,6.0,Master P,0.4257142857142857,1.0
