season,week,contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975,votes_est_mean,votes_est_q025,votes_est_q975
1,1,0,Evander Holyfield,18.0,0.18154772211787357,0.18262920188442222,0.1681338942888733,0.20221734758234394,1815477.2211787356,1681338.942888733,2022173.4758234394
1,1,1,Joey McIntyre,20.0,0.1984714565584403,0.1906239657930534,0.17540550134207808,0.2599564607336889,1984714.5655844032,1754055.013420781,2599564.607336889
1,1,2,John O'Hurley,20.0,0.18145105615306653,0.18038131482423583,0.16231629919363016,0.21839574597166442,1814510.5615306653,1623162.9919363016,2183957.459716644
1,1,3,Kelly Monaco,13.0,0.14675442188155857,0.14942064832567437,0.09061169717445587,0.17426721864845204,1467544.2188155858,906116.9717445587,1742672.1864845203
1,1,4,Rachel Hunter,20.0,0.14690910448463512,0.14867756980731517,0.12097129582741431,0.16029754951614014,1469091.0448463513,1209712.958274143,1602975.4951614013
1,1,5,Trista Sutter,18.0,0.1448662388044259,0.14700517568719645,0.11216450631850056,0.16464598807737799,1448662.388044259,1121645.0631850054,1646459.88077378
1,2,0,Evander Holyfield,14.0,0.1628923761520486,0.1657162136734389,0.13250539905525444,0.178444464578843,1628923.761520486,1325053.9905525444,1784444.64578843
1,2,1,Joey McIntyre,21.0,0.19052987030386653,0.18512909955878268,0.17045998586092515,0.23451105341097525,1905298.7030386652,1704599.8586092514,2345110.5341097526
1,2,2,John O'Hurley,26.0,0.1923718922176542,0.18819741256112937,0.16845993389555286,0.2559908575645396,1923718.922176542,1684599.3389555286,2559908.575645396
1,2,3,Kelly Monaco,17.0,0.1619102869337278,0.16270593313525117,0.11646145461720625,0.18740484277018252,1619102.869337278,1164614.5461720624,1874048.4277018253
1,2,4,Rachel Hunter,24.0,0.14949290074206228,0.15069089610112413,0.1255445165051954,0.16361830772945898,1494929.0074206227,1255445.165051954,1636183.07729459
1,2,5,Trista Sutter,19.0,0.14280267365064062,0.14505613764893355,0.10792535818498819,0.16315130758025564,1428026.7365064062,1079253.581849882,1631513.0758025565
1,3,0,Evander Holyfield,13.0,0.18683373030642766,0.19051301085255468,0.14502581371602918,0.20903633072095681,1868337.3030642767,1450258.137160292,2090363.307209568
1,3,1,Joey McIntyre,22.0,0.2231439490611052,0.21605010156292415,0.2030722284116228,0.27096291999072686,2231439.490611052,2030722.284116228,2709629.1999072684
1,3,2,John O'Hurley,24.0,0.21158815481062343,0.2099989886414129,0.19172453029737188,0.24948153103451629,2115881.5481062345,1917245.3029737188,2494815.3103451626
1,3,3,Kelly Monaco,21.0,0.20102836431785553,0.20357883739154795,0.15414889265990434,0.22627742978795568,2010283.6431785554,1541488.9265990434,2262774.2978795567
1,3,4,Rachel Hunter,26.0,0.17740580150398816,0.17964674978826958,0.14809266666094661,0.19467144118475882,1774058.0150398817,1480926.666609466,1946714.4118475881
1,4,1,Joey McIntyre,20.0,0.25574940050818035,0.25309889910626915,0.2372162664756798,0.29932554140666295,2557494.0050818035,2372162.664756798,2993255.4140666295
1,4,2,John O'Hurley,21.0,0.24154153230547934,0.2427610091099625,0.21854744345182903,0.2572864029890312,2415415.3230547933,2185474.43451829,2572864.0298903123
1,4,3,Kelly Monaco,26.0,0.2816122499680248,0.27990015702904625,0.24915063931461712,0.3389177751609146,2816122.499680248,2491506.3931461712,3389177.751609146
1,4,4,Rachel Hunter,25.0,0.22109681721831556,0.22503426838009652,0.18244001231259419,0.24175394761906252,2210968.1721831555,1824400.123125942,2417539.476190625
1,5,1,Joey McIntyre,22.5,0.32723839965705137,0.32545927669418306,0.3033837436037538,0.3833717552513454,3272383.9965705136,3033837.436037538,3833717.552513454
1,5,2,John O'Hurley,27.0,0.3596938782789847,0.35535415643721413,0.32005332055235236,0.44368390616750125,3596938.782789847,3200533.2055235235,4436839.061675012
1,5,3,Kelly Monaco,23.5,0.313067722063964,0.3114146017217869,0.22362370812605897,0.34873887723475877,3130677.22063964,2236237.08126059,3487388.7723475876
1,6,2,John O'Hurley,27.0,0.4616503032040209,0.4636421965125692,0.38950859670809207,0.5037921502153175,4616503.032040209,3895085.9670809205,5037921.502153175
1,6,3,Kelly Monaco,27.5,0.5383496967959791,0.5363578034874308,0.4962078497846824,0.6104914032919079,5383496.967959791,4962078.497846824,6104914.032919079
2,1,0,Drew Lachey,24.0,0.09424705876418991,0.09288974764785118,0.0820583456859238,0.1295350195901731,942470.5876418991,820583.456859238,1295350.195901731
2,1,1,George Hamilton,18.0,0.09996831699580006,0.10228609216106896,0.09268366279451151,0.10983721914041515,999683.1699580005,926836.6279451151,1098372.1914041515
2,1,2,Giselle Fernandez,23.0,0.09169124254130548,0.09077088309809718,0.08532796888326875,0.10423790064039368,916912.4254130548,853279.6888326876,1042379.0064039368
2,1,3,Jerry Rice,21.0,0.12921475809423294,0.12742184657869826,0.11465727500559446,0.16918647117342486,1292147.5809423295,1146572.7500559445,1691864.7117342486
2,1,4,Kenny Mayne,13.0,0.08033368222172026,0.08583947592494286,0.06273100270956224,0.09515002138185776,803336.8222172025,627310.0270956224,951500.2138185776
2,1,5,Lisa Rinna,19.0,0.0933933141783445,0.09331733718545406,0.08399285142719119,0.0984035918362264,933933.141783445,839928.5142719119,984035.918362264
2,1,6,Master P,12.0,0.10416528530504542,0.1042217423959421,0.097227195804343,0.114570695159802,1041652.8530504542,972271.95804343,1145706.95159802
2,1,7,Stacy Keibler,22.0,0.11675205948659827,0.12356261023533252,0.09825309199472572,0.134502905707319,1167520.5948659827,982530.9199472571,1345029.0570731899
2,1,8,Tatum O'Neal,23.0,0.09323109189262321,0.09502497427076542,0.07260026549437891,0.10747918987697197,932310.9189262321,726002.6549437891,1074791.8987697198
2,1,9,Tia Carrere,20.0,0.09700319052013989,0.09942356869465038,0.04824245440219539,0.11395575458914488,970031.9052013989,482424.54402195395,1139557.5458914489
2,2,0,Drew Lachey,27.0,0.10369346552925816,0.10037733990663629,0.09107547565801158,0.14232096807621333,1036934.6552925817,910754.7565801158,1423209.6807621333
2,2,1,George Hamilton,22.0,0.11235500176343988,0.11278614384885353,0.10447263225443974,0.1290659746952572,1123550.0176343988,1044726.3225443974,1290659.7469525721
2,2,2,Giselle Fernandez,24.0,0.0970451616054366,0.09773398883511439,0.08667202427377872,0.10537320235373904,970451.616054366,866720.2427377872,1053732.0235373904
2,2,3,Jerry Rice,23.0,0.1394610416343898,0.1376816744136085,0.125298086377613,0.1805956117972362,1394610.416343898,1252980.86377613,1805956.117972362
2,2,5,Lisa Rinna,20.0,0.09910761398162854,0.10027050812031524,0.0847704440884855,0.1064410361453869,991076.1398162853,847704.440884855,1064410.361453869
2,2,6,Master P,16.0,0.11736522865456095,0.11511048991289591,0.1092271895969587,0.13500151762322535,1173652.2865456096,1092271.895969587,1350015.1762322534
2,2,7,Stacy Keibler,29.0,0.13892136809926284,0.14281557950278467,0.11627382120602707,0.17741689800255267,1389213.6809926284,1162738.2120602706,1774168.9800255266
2,2,8,Tatum O'Neal,17.0,0.08701924634205677,0.0877370272011248,0.05167370198521769,0.10429483313652327,870192.4634205677,516737.0198521769,1042948.3313652327
2,2,9,Tia Carrere,22.0,0.10503187238996649,0.10859444900206992,0.0508766930586998,0.12502934766730694,1050318.7238996648,508766.930586998,1250293.4766730694
2,3,0,Drew Lachey,27.0,0.1138400535192718,0.1110928900023871,0.09895043621471235,0.15282021561450634,1138400.535192718,989504.3621471234,1528202.1561450635
2,3,1,George Hamilton,22.0,0.12401132301396842,0.1238799224056933,0.11699130138971894,0.14230626150228745,1240113.2301396842,1169913.0138971894,1423062.6150228744
2,3,2,Giselle Fernandez,22.0,0.10310279697660414,0.10252301635326325,0.08655118305684185,0.10997181216851384,1031027.9697660414,865511.8305684185,1099718.1216851384
2,3,3,Jerry Rice,19.0,0.14258128146204355,0.14201558684993784,0.13221141469344241,0.16495966623783068,1425812.8146204355,1322114.146934424,1649596.6623783067
2,3,5,Lisa Rinna,25.0,0.1199730256961113,0.1206840621101076,0.11221471726998226,0.12509694681003333,1199730.256961113,1122147.1726998226,1250969.4681003334
2,3,6,Master P,14.0,0.1256670941096425,0.12335973934745031,0.11833945208238869,0.13848618631756363,1256670.941096425,1183394.5208238869,1384861.8631756362
2,3,7,Stacy Keibler,27.0,0.14680930042026485,0.15292966291119553,0.12342577478686753,0.17636868847633758,1468093.0042026485,1234257.7478686753,1763686.8847633759
2,3,9,Tia Carrere,26.0,0.12401512480209344,0.12860616136242298,0.06812336261905808,0.148082937262541,1240151.2480209344,681233.6261905808,1480829.3726254099
2,4,0,Drew Lachey,28.0,0.1254210322647609,0.12360801968202949,0.10769959857969554,0.16214156997185125,1254210.322647609,1076995.9857969554,1621415.6997185126
2,4,1,George Hamilton,21.0,0.13740365554117284,0.13771588121496564,0.12803548321323852,0.15481275867584862,1374036.5554117283,1280354.832132385,1548127.5867584862
2,4,3,Jerry Rice,24.0,0.17356653531802022,0.17075933312794622,0.15767508133309682,0.22507783332828743,1735665.3531802022,1576750.8133309681,2250778.3332828744
2,4,5,Lisa Rinna,26.0,0.13384557871964559,0.134469035712095,0.12604810947536887,0.14050451035883646,1338455.7871964558,1260481.0947536887,1405045.1035883646
2,4,6,Master P,8.0,0.13727843149816427,0.13418554524445658,0.13044010368415307,0.15046358654686398,1372784.3149816426,1304401.0368415306,1504635.8654686399
2,4,7,Stacy Keibler,26.0,0.15793163761221518,0.16696132319080392,0.1339049697391289,0.17806411291909063,1579316.3761221517,1339049.697391289,1780641.1291909064
2,4,9,Tia Carrere,25.0,0.13455312904602104,0.13996275860484347,0.06888554274731393,0.15996235183642063,1345531.2904602105,688855.4274731393,1599623.5183642062
2,5,0,Drew Lachey,27.0,0.14699845816432588,0.1436175613012739,0.12936961590296484,0.1930348310978421,1469984.581643259,1293696.1590296484,1930348.3109784212
2,5,1,George Hamilton,24.0,0.16104496982893432,0.16370355857946184,0.15002393586397153,0.18406941803633092,1610449.6982893432,1500239.3586397152,1840694.1803633093
2,5,3,Jerry Rice,23.0,0.1900670562258463,0.18947033996094823,0.17356767157773811,0.22606176558414295,1900670.562258463,1735676.715777381,2260617.6558414297
2,5,5,Lisa Rinna,25.0,0.15183855538320343,0.1524866190892697,0.14066749130252995,0.15895317242434315,1518385.5538320343,1406674.9130252996,1589531.7242434316
2,5,7,Stacy Keibler,30.0,0.2069751402372767,0.21424031478497713,0.17315835417403505,0.26534245004402096,2069751.402372767,1731583.5417403504,2653424.5004402096
2,5,9,Tia Carrere,22.0,0.14307582016041334,0.14949541406813638,0.06062265907464901,0.17494126191754703,1430758.2016041335,606226.5907464902,1749412.6191754702
2,6,0,Drew Lachey,30.0,0.18059012535720784,0.1778683997155151,0.16239508585259269,0.23417171675347137,1805901.2535720784,1623950.858525927,2341717.1675347136
2,6,1,George Hamilton,23.0,0.18198218969584548,0.18462569628633202,0.1506131701872839,0.20106950024215833,1819821.8969584547,1506131.7018728391,2010695.0024215833
2,6,3,Jerry Rice,23.0,0.22067214746740693,0.22132927807380443,0.20252321770430579,0.24554647197871923,2206721.4746740693,2025232.1770430577,2455464.7197871925
2,6,5,Lisa Rinna,27.0,0.18382349133593998,0.1844184952124365,0.16366536600581047,0.19646436880983453,1838234.9133593997,1636653.6600581047,1964643.6880983454
2,6,7,Stacy Keibler,30.0,0.2329320461435998,0.23979729910741204,0.20269628861607702,0.26499924381395873,2329320.461435998,2026962.8861607702,2649992.438139587
2,7,0,Drew Lachey,27.5,0.21895769326866255,0.21910901440994737,0.1949579388191155,0.2728166436155239,2189576.9326866255,1949579.388191155,2728166.4361552387
2,7,3,Jerry Rice,20.5,0.2645650509276238,0.26387518398056575,0.23926114529774556,0.2973906823431549,2645650.509276238,2392611.4529774557,2973906.823431549
2,7,5,Lisa Rinna,26.5,0.23393656945299626,0.23019416325550374,0.21271336636983748,0.2532112288956001,2339365.6945299627,2127133.6636983748,2532112.288956001
2,7,7,Stacy Keibler,27.5,0.28254068635071744,0.2928084318642433,0.2432920052952506,0.3164245916801924,2825406.8635071744,2432920.052952506,3164245.916801924
2,8,0,Drew Lachey,28.9998,0.2872428465196696,0.287286263291842,0.261421365309121,0.3463238858288915,2872428.4651966956,2614213.6530912104,3463238.858288915
2,8,3,Jerry Rice,26.666600000000003,0.35105636436301674,0.349982140811509,0.31568562167571246,0.3890420634141637,3510563.6436301675,3156856.2167571248,3890420.634141637
