season,contestant_id,celebrity_name,mu_mean,mu_median,mu_q025,mu_q975,mu_rank
1,0,Evander Holyfield,0.08642272828305406,0.1332703448869086,-1.6444566430361887,1.6398295144333856,4
1,1,Joey McIntyre,0.1778388655423363,0.20497150971173658,-1.6278161982997112,1.8740595375875322,2
1,2,John O'Hurley,0.12974123636542828,0.16286003223721107,-1.7085541917931684,1.8179549073941863,3
1,3,Kelly Monaco,0.28711769756287797,0.3001418428238327,-1.5457325974043747,2.06985346255395,1
1,4,Rachel Hunter,-0.2507285845433961,-0.28214547739644197,-1.965494843851861,1.5639112487826408,5
1,5,Trista Sutter,-0.43039194321030044,-0.4631295987413314,-1.9660437588273878,1.290235146800983,6
2,0,Drew Lachey,0.08308208689738257,0.054255173912161725,-1.6861520299660249,1.9647480030833107,4
2,1,George Hamilton,0.049101864437307984,0.07342192837174585,-1.6626243555017484,1.5185843465856186,5
2,2,Giselle Fernandez,-0.5573260488334769,-0.6096768601454757,-2.224895193884129,1.3215897732342088,10
2,3,Jerry Rice,0.6734415532827793,0.7322892977215004,-1.1731221500321332,2.4236600781961486,1
2,4,Kenny Mayne,-0.4131989484541245,-0.3935951083414463,-2.1623136062577992,1.1908302723269075,9
2,5,Lisa Rinna,0.036600239367882946,-0.01190064935982809,-1.5408222178061752,1.7552194747541936,6
2,6,Master P,0.5285500020152684,0.5941909701148761,-1.2495806662132527,2.0018832407725613,2
2,7,Stacy Keibler,0.19153409995709877,0.18064036638221145,-1.504778759227973,1.9122534985985107,3
2,8,Tatum O'Neal,-0.3992997512078774,-0.4094389603561001,-1.973992337053694,1.1369946668632893,8
2,9,Tia Carrere,-0.1924850974622412,-0.21316155760157318,-1.8553149809568883,1.4132901498196226,7
3,0,Emmitt Smith,-0.12536249030023686,-0.1323901942765972,-2.00315825305154,1.7598945132507466,11
3,1,Harry Hamlin,-0.04098797947077817,-0.06863444561923829,-1.8740247594141515,1.8630479943103213,8
3,2,Jerry Springer,0.0035919798242336556,-0.011006376865079368,-1.90212764368782,1.9421987662045475,7
3,3,Joey Lawrence,0.09632400484002743,0.0895401322156916,-1.7217953824940713,1.888185667025874,1
3,4,Mario Lopez,0.06356576105904213,0.10107776750593742,-1.9410634804016471,1.8644598487404576,2
3,5,Monique Coleman,0.05632666765712519,0.0331482327614719,-1.6333344854105067,1.7635289262803218,3
3,6,Sara Evans,-0.06240075155287289,-0.09184402330052513,-1.8284655935841927,1.688518790367569,10
3,7,Shanna Moakler,0.0199962325781526,0.01727306058338164,-1.862109477928374,2.088384368816531,5
3,8,Tucker Carlson,0.01590039440246548,0.020254513331098803,-1.798967362163617,1.946780727652099,6
3,9,Vivica A. Fox,0.033297511105165135,0.05015954848302975,-1.8363170924064955,1.7316992728050595,4
3,10,Willa Ford,-0.06025133014232368,-0.03966313698463213,-1.8984298294877502,1.7026327477982615,9
4,0,Apolo Anton Ohno,0.09144735791609346,0.0876251369288193,-1.815022000153421,1.8904310682411585,2
4,1,Billy Ray Cyrus,-0.057042803506081756,-0.07659237680385883,-1.678212091984062,1.7419119979258761,10
4,2,Clyde Drexler,0.010408450383166304,0.03154768643634921,-1.9326899166637597,1.8602219157644815,4
4,3,Heather Mills,-0.09733669605912448,-0.1383891853394414,-1.7800611551508922,1.757518409096711,11
4,4,Ian Ziering,0.017262614692256865,0.022896883459307772,-1.8444718749477622,1.9645925596298592,3
4,5,Joey Fatone,-0.015292756174298754,-0.021277973448816358,-1.8815307905923078,1.8049791319790895,7
4,6,John Ratzenberger,-0.016344096753521182,-0.02475143381187552,-1.834139027282146,1.8472539282274127,8
4,7,Laila Ali,0.11415567336484088,0.1136512005237646,-1.6992576224221743,1.995475396000286,1
4,8,Leeza Gibbons,0.005441665801986828,0.010771174444025873,-1.6311947789574108,1.7659723621133758,5
4,9,Paulina Porizkova,-0.0007165316665107666,-0.005563315033621563,-1.7935214766607395,1.7825674068508515,6
4,10,Shandi Finnessey,-0.05198287799880736,-0.053250591577401626,-1.7973122857888348,1.6915570653328773,9
5,0,Albert Reed,-0.07223878089147494,-0.09385658262145648,-1.8624837501605258,1.777814020948651,11
5,1,Cameron Mathison,-0.03652770084836665,-0.06043302133956271,-1.7128414466938338,1.6537269301033963,9
5,2,Floyd Mayweather Jr. ,-0.08298547977454322,-0.07590015169035043,-1.8901806165938857,1.6428086291600064,12
5,3,Helio Castroneves,0.07719604348231242,0.0814129767733522,-1.9877100197012145,2.036301203691089,3
5,4,Jane Seymour,0.10442410257453529,0.07408468402070872,-1.853507398716947,2.1922923110310584,1
5,5,Jennie Garth,-0.007380116986862756,-0.010588191994230098,-1.8106934767899043,1.78693287674179,6
5,6,Josie Maran,0.005778278607038488,0.026277544324823703,-1.8768710778118252,1.959971313194645,4
5,7,Marie Osmond,0.08906260949818674,0.03968282535069584,-1.880524031559986,1.9489734185221985,2
5,8,Mark Cuban,-0.017968635985277013,0.0036880478073003354,-1.8086637183699146,1.903881122132844,7
5,9,Mel B,0.0011478811978089234,0.020082729475326983,-1.9223805394951152,1.9413690674417254,5
5,10,Sabrina Bryan,-0.022456301367538577,-0.017863136103115587,-1.840232673556777,1.7310353334227144,8
5,11,Wayne Newton,-0.03805189950581867,-0.04194599265390418,-1.8849131378653126,1.8268534435579287,10
6,0,Adam Carolla,0.03345071329086744,0.04771848982390439,-1.7923895650229338,1.8445580922977698,3
6,1,Cristian de la Fuente,0.025714184769283388,0.00012651503561914024,-1.7827275063813415,1.9944918342661075,6
6,2,Jason Taylor,-0.060626788520857455,-0.05842493350946458,-1.874272557751811,1.7151940619583186,12
6,3,Kristi Yamaguchi,-0.040488404625209175,-0.017618296041008005,-1.8112635660748098,1.7717564531166394,10
6,4,Mario,0.02704758605625646,0.05031238083047232,-1.8508013040799884,1.8479337488834215,5
6,5,Marissa Jaret Winokur,0.033190640203657154,-0.0026078721734228046,-1.809421016408081,1.9187075141720111,4
6,6,Marlee Matlin,-0.031376864846256416,-0.030488239510735888,-1.946771534989146,1.8935711698991744,8
6,7,Monica Seles,-0.036753188444892726,-0.055033290261353604,-1.7705460459935112,1.7111560241463801,9
6,8,Penn Jillette,-0.048380324876622485,-0.0574577160372665,-1.798603749672758,1.8189436712476454,11
6,9,Priscilla Presley,0.05106246737223635,0.07004041408025224,-1.7983194298631713,1.8563337792157115,1
6,10,Shannon Elizabeth,0.011791873751042835,0.022189633057024188,-1.8435705541106693,1.8805556515192858,7
6,11,Steve Guttenberg,0.035368105870494625,0.07988897306590842,-1.7913855135710643,1.7814670816061524,2
7,0,Brooke Burke,0.06296127837854544,-0.006134704303032881,-1.635695762111396,1.8696434512418945,2
7,1,Cloris Leachman,-0.04019097991481965,-0.026267672000077763,-1.936389871863243,1.796609384436077,9
7,2,Cody Linley,0.04552727050981493,0.05953570226717006,-1.8779558276416652,1.865646675860828,3
7,3,Jeffrey Ross,-0.05252001470829277,-0.029123546568392375,-1.9064348812126342,1.7678615463298413,11
7,4,Kim Kardashian,-0.04644486751756017,-0.04118549937466545,-1.9619275780638379,1.8514007296371338,10
7,5,Lance Bass,0.036586424996152854,0.05495311316773465,-1.8447764311842842,1.82667743039569,5
7,6,Maurice Greene,-0.0806888792506623,-0.07317725601964278,-2.004387273960796,1.8144730119812758,12
7,7,Misty May-Treanor,0.011210687888730043,-0.02695712088999459,-1.6703817361810096,1.8569687060129518,7
7,8,Rocco DiSpirito,0.03441293514551112,0.04073240380258911,-1.8604211422466503,1.9588097758234406,6
7,9,Susan Lucci,-0.015487548262412405,-0.04767479788492035,-1.6294566672963031,1.78930212110486,8
7,10,Ted McGinley,0.044838817827399194,0.04907872318778575,-1.8699049236585525,1.8280554800742403,4
7,11,Toni Braxton,-0.13778348917477437,-0.16251870600809606,-2.0200141292628593,1.6876592169017486,13
7,12,Warren Sapp,0.1375783640823681,0.15379969652320225,-1.8555100217637353,2.0054715182331275,1
8,0,Belinda Carlisle,-0.009668667723950019,-0.009739220309448036,-1.8968728372158894,1.9433827997615791,8
8,1,Chuck Wicks,-0.10357822513368098,-0.09403602817015873,-2.0842544918241352,1.7892141376077586,13
8,2,David Alan Grier,-0.07143108276281708,-0.07671563694488111,-1.9026253980534718,1.8766160295357224,12
8,3,Denise Richards,0.022395208606389074,0.08669516160404221,-1.8957855305352176,1.6728184843933276,6
