season,week,observed_eliminated_name,pred_elim_prob_observed,top1_pred_name,top1_prob,top2_pred_name,top2_prob,top3_pred_name,top3_prob,is_observed_in_top2,notes
1,1,,,Kelly Monaco,0.4937160071712728,Trista Sutter,0.24358559576902333,Evander Holyfield,0.12693092527446792,False,
1,2,Trista Sutter,0.1818990796614388,Evander Holyfield,0.4580020449904368,Kelly Monaco,0.2267513263996709,Trista Sutter,0.1818990796614388,False,
1,3,Evander Holyfield,0.5407723957718967,Evander Holyfield,0.5407723957718967,Kelly Monaco,0.20035364538044476,Joey McIntyre,0.1313671513684127,True,
1,4,Rachel Hunter,0.15008826807880993,Joey McIntyre,0.4748483288941133,John O'Hurley,0.2997634496805739,Rachel Hunter,0.15008826807880993,False,
1,5,,,Joey McIntyre,0.5366271454582301,Kelly Monaco,0.313400500980164,John O'Hurley,0.1499723535616068,False,
1,6,,,John O'Hurley,0.6701761217706181,Kelly Monaco,0.32982387822938286,,,False,
2,1,Kenny Mayne,0.3755075102530677,Kenny Mayne,0.3755075102530677,Master P,0.3696447927456576,George Hamilton,0.10260295965950762,True,
2,2,Tatum O'Neal,0.3573080084364353,Tatum O'Neal,0.3573080084364353,Master P,0.3417082161377083,Lisa Rinna,0.1285922932416599,True,
2,3,Giselle Fernandez,0.1926832124919346,Master P,0.4596663676738082,Giselle Fernandez,0.1926832124919346,Jerry Rice,0.1887034181735247,True,
2,4,Master P,0.5303759096281107,Master P,0.5303759096281107,George Hamilton,0.20910662967672747,Tia Carrere,0.08817296405391972,True,
2,5,Tia Carrere,0.511859074481933,Tia Carrere,0.511859074481933,Jerry Rice,0.2022489906297672,George Hamilton,0.14521328845300618,True,
2,6,George Hamilton,0.35293044136974155,Jerry Rice,0.390856917673144,George Hamilton,0.35293044136974155,Lisa Rinna,0.1477276690051299,True,
2,7,Lisa Rinna,0.2514117553154619,Jerry Rice,0.5170114008843258,Lisa Rinna,0.2514117553154619,Stacy Keibler,0.13681794509680795,True,
2,8,,,Jerry Rice,0.5579542624901274,Stacy Keibler,0.2724755629514954,Drew Lachey,0.16957017455837795,False,
3,1,Tucker Carlson,0.09530056808498336,Tucker Carlson,0.09530056808498336,Sara Evans,0.09442918414028716,Jerry Springer,0.09402268502932673,True,
3,2,Shanna Moakler,0.1031236269444063,Jerry Springer,0.104412615690744,Harry Hamlin,0.10379536940477946,Sara Evans,0.1035274667373003,False,
3,3,Harry Hamlin,0.11505688076052158,Emmitt Smith,0.11691514456929754,Jerry Springer,0.11550279364379266,Harry Hamlin,0.11505688076052158,False,
3,4,Vivica A. Fox,0.12882504264801217,Sara Evans,0.13232418085421355,Jerry Springer,0.1309175992170705,Emmitt Smith,0.1292597940231656,False,
3,6,,,Jerry Springer,0.2191471781618447,Monique Coleman,0.20846332049633717,Joey Lawrence,0.20275721833889063,False,
3,7,Jerry Springer,0.21912784733235915,Jerry Springer,0.21912784733235915,Monique Coleman,0.20534333533348656,Mario Lopez,0.19546466869118578,True,
3,8,Monique Coleman,0.272548439881767,Monique Coleman,0.272548439881767,Emmitt Smith,0.2666751248966085,Joey Lawrence,0.2640765210731997,True,
3,9,,,Emmitt Smith,0.3384095515920447,Mario Lopez,0.3317678194398677,Joey Lawrence,0.329822628968087,False,
3,10,,,Emmitt Smith,0.5079320121608134,Mario Lopez,0.4920679878391865,,,False,
4,1,,,Billy Ray Cyrus,0.09514367095195912,Leeza Gibbons,0.09461577331807353,Clyde Drexler,0.09417828991238505,False,
4,2,Paulina Porizkova,0.09362773247700806,Clyde Drexler,0.09486216371983529,Shandi Finnessey,0.09411707140961098,John Ratzenberger,0.0937275661211169,False,
